the_geom,continent,country,provider,dist,fr
,Asia,Indonesia,Biznet,8083.06200000001,11.1885387906805
,Asia,Indonesia,ICON+,18297.668,60.4911953713745
,Asia,Indonesia,Indosat,15393.909,84.9244975568727
,Asia,Indonesia,Moratelindo,9314.391,64.2219458557665
,Asia,Indonesia,PGASCOM,1333.984,51.5566492676735
,Asia,Indonesia,PowerTel,2690.986,24.0695716943592
,Asia,Indonesia,Telkom Indonesia,19908.822,1.64515835605562
,Asia,Indonesia,Telkom Telstra,19908.822,21.4664400685579
,Asia,Indonesia,XL Axiata,11970.217,37.0614690557122
,Asia,Jordan,Damamax,352.043,46.7089244388044
,Asia,Jordan,National Broadband Network,1334.295,59.4717951808125
,Asia,Jordan,NEPCO,1493.223,31.8081356342882
,Asia,Jordan,Orange Jordan,1912.05,66.6071993801743
,Asia,Jordan,Zain,1542.176,77.8214853899553
,Asia,Kazakhstan,Kaztranscom,11237.371,87.9062484661117
,Asia,Kazakhstan,Kcell,10906.483,4.59043097123504
,Asia,Kazakhstan,Transtelecom,14685.749,3.46137897484004
,Asia,Malaysia,DiGi,5782.04000000003,37.1551565211266
,Asia,Malaysia,Fiberail,3468.45,67.9672287581488
,Asia,Malaysia,Fibrecomm,5062.12000000001,73.3120264289901
,Asia,Malaysia,MyKRIS,4006.861,17.1007154500112
,Asia,Malaysia,Telekom Malaysia,5955.681,62.1106508970261
,Asia,Malaysia,TIME dotCom,3161.943,29.45162587706
,Asia,Malaysia,TNB,9529.76500000002,51.1926359953359
,Asia,Mongolia,Gemnet,4043.979,71.3879619808868
,Asia,Mongolia,ICNC,18690.289,81.8450875431299
,Asia,Mongolia,Mobicom,4885.352,48.5320474710315
,Asia,Mongolia,Railcom,1221.013,82.6839708341286
,Asia,Myanmar,MPT,13273.83,10.376125424169
,Asia,Myanmar,Ooredoo,10124.02,50.0011969488114
,Asia,Myanmar,Telenor,6171.777,38.035156567581
,Asia,Myanmar,Unicom China,1335.288,20.5646642148495
,Asia,Oman,Omantel,6258.21,19.4923923201859
,Asia,Oman,Ooredoo,7133.09899999999,31.9596541244537
,Asia,Pakistan,Jazz,11856.479,83.786610070616
,Asia,Pakistan,Multinet,9099.20399999999,70.0490415878594
,Asia,Pakistan,Nayatel,209.364,55.0292258188128
,Asia,Pakistan,PTCL,9097.87500000001,84.4317684685811
,Asia,Pakistan,Satcomm,175.541,90.5154816564173
,Asia,Pakistan,Special Communications Organization,966.770622742882,1.09069487452507
,Asia,Pakistan,Wateen,10033.988,40.1406929073855
,Asia,Papua New Guinea,Telikom PNG,1437.152,58.9872768372297
,Asia,Philippines,Baytanel,3473.301,31.8988305507228
,Asia,Philippines,Globe,1994.631,15.7478922875598
,Asia,Philippines,Philcom,1072.763,45.8087622690946
,Asia,Philippines,Piltel,1451.34,28.8050790168345
,Asia,Philippines,PLDT,2682.74800000001,19.3383233007044
,Asia,Philippines,PT&T,4495.896,48.2701412439346
,Asia,Philippines,Smart,5594.594,64.9602355379611
,Asia,Philippines,Telicphil,2853.486,86.3055520588532
,Asia,Saudi Arabia,ITC,11751.992,30.5821676729247
,Asia,Saudi Arabia,Saudi Telecom Company,10588.504,81.0609510298818
,Asia,Sri Lanka,CEB,1750.152,57.4162029558793
,Asia,Sri Lanka,Sri Lanka Telecom,5809.73699999999,59.0337935499847
,Asia,Thailand,UniNet,28100.9630000001,41.2535870252177
,Asia,Turkey,Millenicom,10533.515,37.804164936766
,Asia,Turkey,SOCAR,1886.923,49.8788810931146
,Asia,Turkey,Turkcell Superonline,10533.515,88.7856344962493
,Asia,Turkey,Turk Telekom,11099.682,29.4881357708946
,Asia,Turkey,Vodafone,9301.65,59.2550065172836
,Asia,United Arab Emirates,Omantel,81.856,47.7868314450607
,Asia,Vietnam,Vinaphone,18819.023,66.5232923803851
,Europe,Cyprus,MTN,582.222,78.8196707740426
,Europe,Ukraine,Atracom,18286.317,66.2792238071561
,Europe,Ukraine,Datagroup,8703.181,7.48294650483876
,Europe,Ukraine,ETT,8354.388,71.6062808446586
,Europe,Ukraine,UARNet,11934.036,45.3282653950155
,Europe,Ukraine,Urktelecom,11495.647,61.5121723655611
,Latin America,Argentina,ARSAT,54031.135,65.0380493132398
,Latin America,Argentina,Cablevision,7555.368,44.8437470933422
,Latin America,Argentina,Gigared,4656.577,61.6028672400862
,Latin America,Argentina,Internexa,2132.11,14.1787422625348
,Latin America,Argentina,Metrotel,850.082,12.831023930572
,Latin America,Argentina,Silica Networks,18231.3881104766,2.50169779080898
,Latin America,Argentina,Telefonica,6548.35524695558,28.9266345500946
,Latin America,Bolivia,AXS,6186.916,57.6397861996666
,Latin America,Bolivia,COMTECO,468.624,30.3067768076435
,Latin America,Bolivia,COTAS,6105.398,47.264957850799
,Latin America,Bolivia,COTEL,102.709,14.9099274436012
,Latin America,Bolivia,Digital TV and Cable,1172.341,4.26701238751411
,Latin America,Bolivia,Entel,8387.63300000003,42.5705099096522
,Latin America,Bolivia,Tigo,4965.256,44.4920951165259
,Latin America,Bolivia,VIVA,9916.65300000005,84.3279634173959
,Latin America,Brazil,BRFibra,46685.7550000001,8.98671286553144
,Latin America,Brazil,CDC,2318.795,12.5258886665106
,Latin America,Brazil,CELESC,333.003,34.5815504426137
,Latin America,Brazil,CEMIG,1952.107,45.7908778022975
,Latin America,Brazil,Electronorte,6367.907,61.4047698015347
,Latin America,Brazil,Embratel,31004.7780000002,32.3671849388629
,Latin America,Brazil,IFTNet,814.91,74.2790136151016
,Latin America,Brazil,inTelle,28931.879,29.6597763188183
,Latin America,Brazil,Level 3,9235.11000000002,79.1540163839236
,Latin America,Brazil,Oi,58585.646,49.8023059954867
,Latin America,Brazil,Petrobras,7310.703,17.4794470928609
,Latin America,Brazil,SAMM,5925.62800000001,54.4332401910797
,Latin America,Brazil,Silica Networks,4736.059,56.2852525003254
,Latin America,Brazil,Telebras,29646.067,88.0857279794291
,Latin America,Brazil,TIM Brazil,37772.51,8.76150562800467
,Latin America,Chile,Austral,1577.551,26.7974248658866
,Latin America,Chile,Entel,4815.124,62.1237772926688
,Latin America,Chile,Internexa,1698.127,52.6052527213469
,Latin America,Chile,Silica Networks,1237.086,87.4002921478823
,Latin America,Colombia,Azteca Communications,6439.266,75.3025195552036
,Latin America,Colombia,CenturyLink,5107.181,64.4362766519189
,Latin America,Colombia,C&W Networks,5450.49,88.9019899386913
,Latin America,Colombia,ETB,6367.326,13.2291541472077
,Latin America,Colombia,Internexa,6409.082,31.076062893495
,Latin America,Colombia,Metrotel,351.853,28.2087667882442
,Latin America,Colombia,Tigo,938.285,59.4941119980067
,Latin America,Colombia,UFINET,10725.213,44.9859903370962
,Latin America,Costa Rica,REDCA,661.465,31.4757791757584
,Latin America,Ecuador,Celec,4004.927,11.0646219495684
,Latin America,Ecuador,CNT,6968.978,88.4780854955316
,Latin America,Ecuador,Telconet,7300.877,24.8037425931543
,Latin America,Ecuador,Transnexa,2537.117,19.0513348150998
,Latin America,El Salvador,REDCA,329.651,10.0039741620421
,Latin America,French Guiana,Guyacom,201.716,58.385293035768
,Latin America,Guatemala,REDCA,331.587,63.8422126593068
,Latin America,Guatemala,Ufinet,5132.16399999999,70.4087439635769
,Latin America,Honduras,REDCA,516.79,89.7524779746309
,Latin America,Mexico,AT&T Mexico,1947.236,47.1212262744084
,Latin America,Mexico,Axtel,9119.191,9.0685203243047
,Latin America,Mexico,Bestel,21709.682,77.9064943585545
,Latin America,Mexico,Cogent,3304.939,5.92353226989508
,Latin America,Mexico,GTAC,15947.256,25.5479674171656
,Latin America,Mexico,Level 3,4402.336,41.3397345915437
,Latin America,Mexico,Marcatel,4942.292,61.2087847702205
,Latin America,Mexico,Maxcom,4887.747,22.6336953965947
,Latin America,Mexico,MCM,6183.663,49.1012402195483
,Latin America,Mexico,RedIT,8973.31700000001,87.0062096780166
,Latin America,Mexico,Telmex,21437.148,83.757472731173
,Latin America,Mexico,Transtelco,7848.468,10.7064929408953
,Latin America,Nicaragua,Enatrel,1420.204,83.4065018258989
,Latin America,Nicaragua,IDB,1365.498,68.0599922863767
,Latin America,Nicaragua,REDCA,309.04,74.1427695928141
,Latin America,Nicaragua,Ufinet,2543.422,81.3084917645901
,Latin America,Panama,REDCA,751.699,80.2891464335844
,Latin America,Paraguay,Claro,1386.662,14.2188324863091
,Latin America,Paraguay,Copaco,5190.064,18.5172585528344
,Latin America,Paraguay,Personal,2529.626,48.7832584735006
,Latin America,Paraguay,Silica Networks,340.391,58.2048228653148
,Latin America,Paraguay,Tigo,5688.57799999999,48.9930377285928
,Latin America,Paraguay,Ufinet,1984.547,58.847880423069
,Latin America,Peru,Azteca,17228.654,55.6829083608463
,Latin America,Peru,Bitel,9635.09,72.7967803217471
,Latin America,Peru,Claro,7331.489,76.8992152381688
,Latin America,Peru,Consorcio Optical Systems,351.815,64.6868825228885
,Latin America,Peru,FITEL Project - TBD,9452.346,40.182073357515
,Latin America,Peru,Internexa,6385.313,49.7414278974757
,Latin America,Peru,Movistar,12296.943,44.0956265283749
,Latin America,Peru,Winner Systems,235.932,38.9345513321459
,Latin America,Uruguay,Citesa,2600.117,5.86265417188406
,Latin America,Venezuela,Internexa,2211.253,52.1641468526796
,North America,Canada,GTT,551.436,25.8410457326099
,North America,United States of America,GTT,9581.496,10.7861864417791
,North America,United States of America,Zayo,130071.297999996,76.7121142698452
,,South Africa,MTN,,66.1807803241536
,,,Claro,39.282,70.9949712539092
